flight_id;user_id
0000000001;ManMartins-Abreu
0000000001;TBranco
0000000001;MBaptista1978
0000000001;MaurAntunes1651
0000000001;JAzevedo
0000000001;MaNeves1757
0000000001;MaCoelho232
0000000001;EduNunes
0000000001;KyarMonteiro
0000000001;Emília-IriAssunção
0000000001;VaMonteiro
0000000001;LuAlmeida185
0000000001;RitMaia
0000000001;LeAnjos
0000000001;ÍriNeto
0000000001;IsaaMota1028
0000000001;IsabeBrito-Domingues1818
0000000001;MariaCarvalho
0000000001;BSá842
0000000001;HLoureiro-Jesus
0000000001;DiFaria
0000000001;NicBatista835
0000000001;CéAmorim-Carvalho
0000000001;SanLeite
0000000001;FNunes
0000000001;Carminho-FlReis153
0000000001;KyaNascimento-Domingues470
0000000001;JulianTorres
0000000001;GonçalMagalhães-Guerreiro166
0000000001;BárbaAmorim1683
0000000001;CrisBrito1393
0000000001;IriMartins1718
0000000001;CésaMiranda
0000000001;CristMarques721
0000000001;JMarques336
0000000001;LeRibeiro
0000000001;LetíPinho
0000000001;GasSoares
0000000001;CarlCastro
0000000001;Rafaela-Pinto
0000000001;DiogMorais1934
0000000001;LAmaral286
0000000001;IvVieira
0000000001;CristianVicente61
0000000001;DaVicente1528
0000000001;CarolinBrito367
0000000001;CarMendes-Costa1894
0000000001;SaCosta
0000000001;ConstanMonteiro1819
0000000001;RuCoelho
0000000001;VioletNeto
0000000001;EduPinto
0000000001;LuMatos1298
0000000001;CFaria1554
0000000001;LorVicente404
0000000001;HeMonteiro
0000000001;AriaPinheiro-Santos
0000000001;EmmPinho
0000000001;GaGuerreiro
0000000001;LetíciOliveira668
0000000001;CarloTeixeira1052
0000000001;DeniLeal1107
0000000001;MargariCarvalho1866
0000000001;ABatista1741
0000000001;IriPinto
0000000001;DaAlves
0000000001;LuEsteves
0000000001;LoureMatos1040
0000000001;FábMorais
0000000001;AnMagalhães
0000000001;AndreGarcia71
0000000001;ÂngCoelho
0000000001;BMacedo1633
0000000001;ILeal1967
0000000001;NaAssunção30
0000000001;BrunAnjos1863
0000000001;NelsTeixeira953
0000000001;JoaqVicente1430
0000000001;NicoRibeiro1425
0000000001;ConLeal
0000000001;MatBatista
0000000001;VeTavares-Magalhães
0000000001;AméliAbreu30
0000000001;JoaPereira911
0000000001;IrGonçalves
0000000001;FernandPinheiro
0000000001;PeFaria
0000000001;ConsBarbosa-Leite
0000000001;AlSoares1524
0000000002;VBarbosa1161
0000000002;KéAlmeida-Anjos1571
0000000002;VitNunes1727
0000000002;CristianMelo-Lima538
0000000002;WilliaAlmeida690
0000000002;RenCorreia
0000000002;AlexandrLopes926
0000000002;LucLoureiro982
0000000002;JoSoares452
0000000002;MAbreu
0000000002;MirCastro
0000000002;BrRamos1656
0000000002;ViolSousa
0000000002;BernaNunes1671
0000000002;DaniFerreira
0000000002;MaFerreira-Sousa
0000000002;LeandrGonçalves-Morais
0000000002;SoraiBranco1306
0000000002;ValentCardoso
0000000002;DiaNunes469
0000000002;KellAssunção
0000000002;FábiAbreu-Carneiro1103
0000000002;DJesus
0000000002;MAlmeida836
0000000002;HCastro
0000000002;PeMaia
0000000002;AntónFonseca1280
0000000002;SPinho
0000000002;AnBorges
0000000002;BruAndrade
0000000002;AMorais
0000000002;SValente312
0000000002;SMacedo
0000000002;DenMota1001
0000000002;SFonseca1780
0000000002;ECosta658
0000000002;TatianBrito40
0000000002;Lorena-Ramos
0000000002;AntBatista277
0000000002;PaulMelo370
0000000002;NoaAlves-Costa1172
0000000002;IsaRamos1491
0000000002;SalvaTeixeira1630
0000000002;FábBranco957
0000000002;LarAraújo1742
0000000002;IgoRodrigues
0000000002;ClarAlves-Assunção32
0000000002;ErikFreitas199
0000000002;EnCorreia
0000000002;LuFerreira1370
0000000002;BiaFerreira
0000000002;SaFreitas1131
0000000002;JAlves1972
0000000002;WiBrito
0000000002;HugPaiva1122
0000000002;ValentinMiranda-Reis
